time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/loss,train/learning_rate,train/n_updates
4139,113,468720,0.05,171.77853396999998,84.0,5580,0.9229620695114136,0.0001,117154
4140,113,468804,0.05,172.82217166999996,84.0,5581,0.909172534942627,0.0001,117175
4141,113,468888,0.05,171.65064221,84.0,5582,11.190757751464844,0.0001,117196
4142,113,468972,0.05,171.58579331999996,84.0,5583,1.9105727672576904,0.0001,117217
4143,113,469056,0.05,171.78680132999997,84.0,5584,6.895534038543701,0.0001,117238
4143,113,469140,0.05,171.57861038,84.0,5585,7.110150337219238,0.0001,117259
4144,113,469224,0.05,171.97961172999996,84.0,5586,2.4093267917633057,0.0001,117280
4145,113,469308,0.05,172.62013126000002,84.0,5587,1.9903249740600586,0.0001,117301
4146,113,469392,0.05,172.43311877999997,84.0,5588,7.272500514984131,0.0001,117322
4147,113,469476,0.05,172.96085905999996,84.0,5589,5.816119194030762,0.0001,117343
4148,113,469560,0.05,172.91085719,84.0,5590,13.302155494689941,0.0001,117364
4148,113,469644,0.05,173.51972288000002,84.0,5591,1.2785016298294067,0.0001,117385
4149,113,469728,0.05,172.42043815,84.0,5592,1.644454836845398,0.0001,117406
4150,113,469812,0.05,172.80506229000002,84.0,5593,1.5362085103988647,0.0001,117427
4151,113,469896,0.05,172.86116155,84.0,5594,1.2811949253082275,0.0001,117448
4152,113,469980,0.05,173.16294263,84.0,5595,7.912079811096191,0.0001,117469
4152,113,470064,0.05,173.28094642,84.0,5596,1.2029922008514404,0.0001,117490
4153,113,470148,0.05,172.23890326,84.0,5597,0.814057469367981,0.0001,117511
4154,113,470232,0.05,171.51360468999997,84.0,5598,1.351517677307129,0.0001,117532
4155,113,470316,0.05,170.36614705999997,84.0,5599,1.6198639869689941,0.0001,117553
4155,113,470400,0.05,170.47781586999997,84.0,5600,1.745865821838379,0.0001,117574
4156,113,470484,0.05,170.18179564000002,84.0,5601,5.725551128387451,0.0001,117595
4157,113,470568,0.05,171.30242084000002,84.0,5602,5.639130115509033,0.0001,117616
4158,113,470652,0.05,170.15141481999999,84.0,5603,0.6254633665084839,0.0001,117637
4158,113,470736,0.05,170.15372749,84.0,5604,1.3502479791641235,0.0001,117658
4159,113,470820,0.05,170.13453576999996,84.0,5605,1.3766217231750488,0.0001,117679
4160,113,470904,0.05,168.91373308,84.0,5606,7.549296855926514,0.0001,117700
4161,113,470988,0.05,168.70621934,84.0,5607,0.9760844707489014,0.0001,117721
4161,113,471072,0.05,167.88884987999998,84.0,5608,0.6466585993766785,0.0001,117742
4162,113,471156,0.05,167.37295881000003,84.0,5609,2.1796891689300537,0.0001,117763
4163,113,471240,0.05,167.33011943000002,84.0,5610,0.815733790397644,0.0001,117784
4164,113,471324,0.05,166.93294774999998,84.0,5611,3.078218936920166,0.0001,117805
4165,113,471408,0.05,167.16207558000002,84.0,5612,2.778818130493164,0.0001,117826
4165,113,471492,0.05,167.02579055,84.0,5613,0.905148983001709,0.0001,117847
4166,113,471576,0.05,166.93377337,84.0,5614,0.8142579793930054,0.0001,117868
4167,113,471660,0.05,166.70155001,84.0,5615,12.573661804199219,0.0001,117889
4168,113,471744,0.05,166.08583885,84.0,5616,5.406778812408447,0.0001,117910
4168,113,471828,0.05,166.01606696,84.0,5617,0.8102874755859375,0.0001,117931
4169,113,471912,0.05,165.61298079,84.0,5618,7.123088836669922,0.0001,117952
4170,113,471996,0.05,165.67895276999997,84.0,5619,6.872162342071533,0.0001,117973
4171,113,472080,0.05,165.88462794,84.0,5620,1.7441707849502563,0.0001,117994
4172,113,472164,0.05,166.05770868,84.0,5621,7.278262615203857,0.0001,118015
4172,113,472248,0.05,166.25953306000002,84.0,5622,5.841075897216797,0.0001,118036
4173,113,472332,0.05,166.87503633,84.0,5623,7.432541847229004,0.0001,118057
4174,113,472416,0.05,166.69724898,84.0,5624,1.6616021394729614,0.0001,118078
4175,113,472500,0.05,166.72933587,84.0,5625,2.48704195022583,0.0001,118099
4175,113,472584,0.05,166.00480469,84.0,5626,0.9245702028274536,0.0001,118120
4176,113,472668,0.05,166.59545157,84.0,5627,5.542293548583984,0.0001,118141
4177,113,472752,0.05,167.49769360000002,84.0,5628,1.627966284751892,0.0001,118162
4178,113,472836,0.05,167.82560861000002,84.0,5629,14.7341947555542,0.0001,118183
4179,113,472920,0.05,166.41180964,84.0,5630,0.5266534090042114,0.0001,118204
4179,113,473004,0.05,166.15104614999996,84.0,5631,1.4297770261764526,0.0001,118225
4180,113,473088,0.05,167.19606691,84.0,5632,5.525234699249268,0.0001,118246
4181,113,473172,0.05,166.52668080000004,84.0,5633,2.2515580654144287,0.0001,118267
4182,113,473256,0.05,166.33536463000004,84.0,5634,1.2544370889663696,0.0001,118288
4182,113,473340,0.05,166.30906291000002,84.0,5635,7.220423221588135,0.0001,118309
4183,113,473424,0.05,166.51693407,84.0,5636,1.3508362770080566,0.0001,118330
4184,113,473508,0.05,167.08738018,84.0,5637,5.831451416015625,0.0001,118351
4185,113,473592,0.05,167.16027383,84.0,5638,0.7660111784934998,0.0001,118372
4186,113,473676,0.05,166.63340353000004,84.0,5639,1.7982531785964966,0.0001,118393
4186,113,473760,0.05,166.39610150000001,84.0,5640,7.266314506530762,0.0001,118414
4187,113,473844,0.05,166.36439246,84.0,5641,1.1214321851730347,0.0001,118435
4188,113,473928,0.05,166.00374254,84.0,5642,0.9442405104637146,0.0001,118456
4189,113,474012,0.05,166.00946305000002,84.0,5643,7.926472187042236,0.0001,118477
