rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
84.0,54.075984979999994,2091,4552,182,0.05,382368,0.0001,95566,3.7674124240875244
84.0,54.1125112,2092,4553,182,0.05,382452,0.0001,95587,3.485015392303467
84.0,53.992186870000005,2092,4554,182,0.05,382536,0.0001,95608,0.06934094429016113
84.0,53.887851420000004,2093,4555,182,0.05,382620,0.0001,95629,0.1762869656085968
84.0,53.735117750000015,2093,4556,182,0.05,382704,0.0001,95650,0.1918920874595642
84.0,53.66752578000001,2094,4557,182,0.05,382788,0.0001,95671,3.6719400882720947
84.0,53.36327449000001,2094,4558,182,0.05,382872,0.0001,95692,0.06778906285762787
84.0,53.790362920000014,2095,4559,182,0.05,382956,0.0001,95713,0.2896461486816406
84.0,53.83959224,2095,4560,182,0.05,383040,0.0001,95734,0.07101137936115265
84.0,53.852594370000006,2096,4561,182,0.05,383124,0.0001,95755,6.894208908081055
84.0,53.594346910000006,2096,4562,182,0.05,383208,0.0001,95776,3.559795618057251
84.0,53.80969479,2097,4563,182,0.05,383292,0.0001,95797,3.8273849487304688
84.0,53.73180663,2097,4564,182,0.05,383376,0.0001,95818,3.832958221435547
84.0,53.912489799999996,2098,4565,182,0.05,383460,0.0001,95839,7.268524169921875
84.0,53.95661834,2098,4566,182,0.05,383544,0.0001,95860,0.11859840899705887
84.0,54.01046298,2099,4567,182,0.05,383628,0.0001,95881,3.4810428619384766
84.0,53.98088219,2099,4568,182,0.05,383712,0.0001,95902,4.0438432693481445
84.0,53.86294349,2100,4569,182,0.05,383796,0.0001,95923,0.3111932575702667
84.0,53.891030840000006,2100,4570,182,0.05,383880,0.0001,95944,0.17190800607204437
84.0,53.94546776999999,2101,4571,182,0.05,383964,0.0001,95965,0.041692689061164856
84.0,54.01887603,2101,4572,182,0.05,384048,0.0001,95986,0.2284546047449112
84.0,53.99332134,2102,4573,182,0.05,384132,0.0001,96007,0.21799159049987793
84.0,53.659399629999996,2102,4574,182,0.05,384216,0.0001,96028,3.5587375164031982
84.0,53.37011093,2103,4575,182,0.05,384300,0.0001,96049,0.19994056224822998
84.0,53.209749790000004,2103,4576,182,0.05,384384,0.0001,96070,0.09201257675886154
84.0,53.04632992,2104,4577,182,0.05,384468,0.0001,96091,0.13188384473323822
84.0,53.233873669999994,2104,4578,182,0.05,384552,0.0001,96112,3.5004968643188477
84.0,53.005319300000004,2105,4579,182,0.05,384636,0.0001,96133,3.7340714931488037
84.0,52.71884435999999,2105,4580,182,0.05,384720,0.0001,96154,3.473757266998291
84.0,52.65586496,2106,4581,182,0.05,384804,0.0001,96175,3.6007378101348877
84.0,52.86242086999999,2107,4582,182,0.05,384888,0.0001,96196,3.3909833431243896
84.0,52.78078686999999,2107,4583,182,0.05,384972,0.0001,96217,0.06779234111309052
84.0,52.544103149999984,2108,4584,182,0.05,385056,0.0001,96238,0.11944656074047089
84.0,52.61332613,2108,4585,182,0.05,385140,0.0001,96259,3.7637712955474854
84.0,52.64094765999998,2108,4586,182,0.05,385224,0.0001,96280,3.6825408935546875
84.0,52.63716186,2109,4587,182,0.05,385308,0.0001,96301,0.07338367402553558
84.0,52.42546719,2109,4588,182,0.05,385392,0.0001,96322,0.20276358723640442
84.0,52.38576468999999,2110,4589,182,0.05,385476,0.0001,96343,0.025928031653165817
84.0,52.32347999999999,2110,4590,182,0.05,385560,0.0001,96364,0.10687761753797531
84.0,52.162191019999995,2111,4591,182,0.05,385644,0.0001,96385,3.2409746646881104
84.0,52.17543849999999,2111,4592,182,0.05,385728,0.0001,96406,0.09162454307079315
84.0,52.394444839999984,2112,4593,182,0.05,385812,0.0001,96427,0.06904933601617813
84.0,52.401806019999995,2112,4594,182,0.05,385896,0.0001,96448,3.7196009159088135
84.0,52.328673020000004,2113,4595,182,0.05,385980,0.0001,96469,0.09588085114955902
84.0,52.352494410000006,2113,4596,182,0.05,386064,0.0001,96490,3.5570456981658936
84.0,52.23878769,2114,4597,182,0.05,386148,0.0001,96511,0.05676828324794769
84.0,52.092653580000004,2114,4598,182,0.05,386232,0.0001,96532,3.3913588523864746
84.0,52.03297125,2115,4599,182,0.05,386316,0.0001,96553,3.6086554527282715
