time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
201,220332,86.38974668000003,1092,0.05,2623,84.0,0.37569117546081543,0.0001,55057
201,220416,86.37520125,1092,0.05,2624,84.0,0.1940630078315735,0.0001,55078
201,220500,86.37803553000002,1092,0.05,2625,84.0,3.7714016437530518,0.0001,55099
201,220584,86.37921482000002,1093,0.05,2626,84.0,0.10530602186918259,0.0001,55120
201,220668,86.38031891,1093,0.05,2627,84.0,7.418215274810791,0.0001,55141
201,220752,86.36193955,1094,0.05,2628,84.0,0.601148784160614,0.0001,55162
201,220836,86.34399968,1094,0.05,2629,84.0,0.33403438329696655,0.0001,55183
201,220920,86.32211138000001,1095,0.05,2630,84.0,0.26974374055862427,0.0001,55204
201,221004,86.32597619000002,1095,0.05,2631,84.0,0.15303848683834076,0.0001,55225
201,221088,86.32859973000001,1096,0.05,2632,84.0,0.34417641162872314,0.0001,55246
201,221172,86.35672773999998,1096,0.05,2633,84.0,0.33639806509017944,0.0001,55267
201,221256,86.36726189999997,1097,0.05,2634,84.0,0.6849383115768433,0.0001,55288
201,221340,86.33863335999999,1097,0.05,2635,84.0,4.141518592834473,0.0001,55309
201,221424,86.32413303,1098,0.05,2636,84.0,0.5416920781135559,0.0001,55330
201,221508,86.2556243,1098,0.05,2637,84.0,0.17195343971252441,0.0001,55351
201,221592,86.26161546000002,1099,0.05,2638,84.0,0.18973204493522644,0.0001,55372
201,221676,86.25905761,1099,0.05,2639,84.0,4.385785102844238,0.0001,55393
201,221760,86.25863190999999,1100,0.05,2640,84.0,3.6403896808624268,0.0001,55414
201,221844,86.23112080000001,1100,0.05,2641,84.0,3.7942874431610107,0.0001,55435
201,221928,86.23216795999998,1100,0.05,2642,84.0,0.42876291275024414,0.0001,55456
201,222012,86.25293084,1101,0.05,2643,84.0,0.34717684984207153,0.0001,55477
201,222096,86.23384616,1101,0.05,2644,84.0,0.16483870148658752,0.0001,55498
201,222180,86.23119413,1102,0.05,2645,84.0,0.2177557647228241,0.0001,55519
201,222264,86.30080045000003,1102,0.05,2646,84.0,3.888913631439209,0.0001,55540
201,222348,86.29501542000001,1103,0.05,2647,84.0,0.21727769076824188,0.0001,55561
201,222432,86.26243816,1103,0.05,2648,84.0,0.15723496675491333,0.0001,55582
201,222516,86.27564744,1104,0.05,2649,84.0,0.21033965051174164,0.0001,55603
201,222600,86.28969883999999,1104,0.05,2650,84.0,0.3970143795013428,0.0001,55624
201,222684,86.28832472999999,1105,0.05,2651,84.0,0.10061946511268616,0.0001,55645
201,222768,86.27710413999999,1105,0.05,2652,84.0,0.7007176876068115,0.0001,55666
201,222852,86.29308160999999,1106,0.05,2653,84.0,0.2618832290172577,0.0001,55687
201,222936,86.29963131999999,1106,0.05,2654,84.0,0.4115697145462036,0.0001,55708
201,223020,86.29375506999999,1106,0.05,2655,84.0,0.3002922534942627,0.0001,55729
201,223104,86.28766027,1107,0.05,2656,84.0,3.69673228263855,0.0001,55750
201,223188,86.37641501999998,1108,0.05,2657,84.0,4.13194465637207,0.0001,55771
201,223272,86.38119879,1108,0.05,2658,84.0,3.820430278778076,0.0001,55792
201,223356,86.43873076000001,1108,0.05,2659,84.0,0.5688693523406982,0.0001,55813
201,223440,86.44492031000001,1109,0.05,2660,84.0,0.11707786470651627,0.0001,55834
201,223524,86.45367377000001,1109,0.05,2661,84.0,0.31994128227233887,0.0001,55855
