time/fps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/loss
188,45.87,0.05,340,13.788821999999998,64312,1404,16052,0.0001,4.705897331237793
188,45.94,0.05,340,13.8656335,64345,1405,16061,0.0001,0.6220194101333618
188,45.44,0.05,340,12.727464489999997,64380,1406,16069,0.0001,4.435937404632568
188,45.44,0.05,341,12.69926884,64415,1407,16078,0.0001,4.324795722961426
188,45.39,0.05,341,12.561684479999998,64463,1408,16090,0.0001,0.8180385828018188
188,45.45,0.05,341,12.639270289999999,64496,1409,16098,0.0001,0.7414507865905762
188,45.39,0.05,341,12.525581759999998,64528,1410,16106,0.0001,0.7579998970031738
188,45.57,0.05,342,12.892334419999997,64584,1411,16120,0.0001,3.9296343326568604
188,45.64,0.05,342,13.124679269999996,64650,1412,16137,0.0001,0.6335552930831909
188,45.64,0.05,342,13.031419589999999,64735,1413,16158,0.0001,8.60853385925293
188,45.59,0.05,342,12.960199339999999,64765,1414,16166,0.0001,0.6079725027084351
188,45.74,0.05,343,13.206092289999997,64810,1415,16177,0.0001,12.081132888793945
188,46.18,0.05,343,13.659213229999999,64895,1416,16198,0.0001,0.5978004932403564
188,46.54,0.05,343,14.374811459999998,64964,1417,16215,0.0001,0.7588634490966797
188,46.05,0.05,344,14.693536860000002,65000,1418,16224,0.0001,8.173731803894043
188,46.05,0.05,344,14.677364379999998,65045,1419,16236,0.0001,4.499617099761963
188,46.62,0.05,344,15.71910826,65130,1420,16257,0.0001,0.6263970136642456
188,46.11,0.05,345,15.30017235,65164,1421,16265,0.0001,4.551362991333008
188,46.52,0.05,345,15.247535319999999,65249,1422,16287,0.0001,11.788532257080078
188,46.58,0.05,345,15.342207499999997,65286,1423,16296,0.0001,8.266803741455078
188,46.34,0.05,345,14.978078239999997,65317,1424,16304,0.0001,0.9279359579086304
188,46.25,0.05,346,14.772818940000002,65351,1425,16312,0.0001,4.8542704582214355
188,46.2,0.05,346,14.691479549999999,65382,1426,16320,0.0001,0.6391128301620483
188,46.79,0.05,346,14.95647836,65467,1427,16341,0.0001,4.504506587982178
188,46.67,0.05,346,14.72075783,65501,1428,16350,0.0001,0.8401409983634949
188,46.68,0.05,347,14.73734732,65531,1429,16357,0.0001,4.469971179962158
188,46.93,0.05,347,14.320826229999998,65616,1430,16378,0.0001,0.4573231339454651
188,47.44,0.05,347,14.816177810000001,65701,1431,16400,0.0001,3.8592753410339355
188,47.49,0.05,348,14.869997430000002,65751,1432,16412,0.0001,1.0384403467178345
188,47.84,0.05,348,15.429319740000004,65836,1433,16433,0.0001,0.7823812961578369
188,48.01,0.05,348,15.866200769999999,65903,1434,16450,0.0001,8.186263084411621
189,48.35,0.05,349,15.567419039999999,65988,1435,16471,0.0001,4.330986499786377
188,48.23,0.05,349,15.35499829,66019,1436,16479,0.0001,4.898725509643555
188,48.19,0.05,349,15.28789414,66053,1437,16488,0.0001,4.875546455383301
189,48.44,0.05,349,15.75913672,66112,1438,16502,0.0001,4.464253902435303
189,48.27,0.05,350,16.030321760000003,66180,1439,16519,0.0001,0.7630913257598877
189,48.03,0.05,350,16.21797691,66241,1440,16535,0.0001,3.9131898880004883
189,47.52,0.05,350,15.091536640000001,66275,1441,16543,0.0001,4.780035495758057
189,47.36,0.05,350,14.82937776,66344,1442,16560,0.0001,4.762431621551514
189,46.83,0.05,350,14.912242909999998,66376,1443,16568,0.0001,0.5817629098892212
189,46.74,0.05,351,14.75628969,66408,1444,16576,0.0001,4.386082649230957
189,46.8,0.05,351,14.86238604,66450,1445,16587,0.0001,4.426549911499023
189,46.82,0.05,351,14.88327156,66485,1446,16596,0.0001,7.668603897094727
189,46.91,0.05,351,15.02251023,66520,1447,16604,0.0001,0.6759166121482849
189,46.69,0.05,352,14.607473,66558,1448,16614,0.0001,0.5054766535758972
189,46.79,0.05,352,14.819709809999999,66602,1449,16625,0.0001,8.00241756439209
189,46.77,0.05,352,14.785541870000001,66634,1450,16633,0.0001,4.180090427398682
189,46.8,0.05,352,14.843326650000002,66677,1451,16644,0.0001,4.970859527587891
189,47.02,0.05,352,15.241975720000003,66730,1452,16657,0.0001,3.892263889312744
189,47.53,0.05,353,16.18331199,66815,1453,16678,0.0001,0.7564444541931152
189,47.55,0.05,353,16.22352849,66851,1454,16687,0.0001,0.7252217531204224
189,47.42,0.05,353,16.002949530000002,66883,1455,16695,0.0001,4.509529113769531
189,46.9,0.05,353,16.277900109999997,66916,1456,16703,0.0001,0.602342963218689
189,46.33,0.05,354,15.218871820000002,66944,1457,16710,0.0001,0.44255542755126953
189,46.27,0.05,354,15.125441830000002,66979,1458,16719,0.0001,4.554361343383789
188,46.25,0.05,354,15.06625751,67009,1459,16727,0.0001,0.5107346177101135
188,46.52,0.05,354,15.502013350000002,67075,1460,16743,0.0001,0.5850247740745544
188,46.54,0.05,355,15.52302209,67107,1461,16751,0.0001,4.806281089782715
188,46.45,0.05,355,15.368802479999998,67139,1462,16759,0.0001,4.46205997467041
188,46.43,0.05,355,15.330274159999998,67172,1463,16767,0.0001,8.362900733947754
188,46.86,0.05,355,15.994982979999998,67246,1464,16786,0.0001,0.7624694108963013
188,46.35,0.05,356,14.940412919999998,67280,1465,16794,0.0001,1.172680139541626
