time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
34179,249,30.88,0.05,1045,-10.568099669999999,136,8519,0.0001,1.2802919149398804
34210,249,30.9,0.05,1046,-10.54898293,136,8527,0.0001,3.7789011001586914
34257,249,30.52,0.05,1047,-11.007814439999999,137,8539,0.0001,8.958913803100586
34282,250,30.51,0.05,1048,-11.03801269,137,8545,0.0001,0.7045365571975708
34307,250,30.51,0.05,1049,-11.047295179999999,137,8551,0.0001,1.122241735458374
34333,250,30.45,0.05,1050,-11.122523730000003,137,8558,0.0001,6.357410907745361
34359,250,30.44,0.05,1051,-11.126003939999999,137,8564,0.0001,3.31306791305542
34386,250,30.43,0.05,1052,-11.13843397,137,8571,0.0001,1.1544708013534546
34411,251,30.41,0.05,1053,-11.161391769999998,137,8577,0.0001,0.9598607420921326
34436,251,29.81,0.05,1054,-11.35277498,136,8583,0.0001,1.4017142057418823
34464,251,29.8,0.05,1055,-11.350800750000001,136,8590,0.0001,3.8187713623046875
34493,251,29.24,0.05,1056,-11.799084500000001,136,8598,0.0001,1.352526307106018
34525,252,29.25,0.05,1057,-11.787323370000001,136,8606,0.0001,3.8413896560668945
34610,252,29.82,0.05,1058,-11.464736850000001,137,8627,0.0001,1.3452855348587036
34638,252,29.81,0.05,1059,-11.470993810000003,137,8634,0.0001,0.7914212942123413
34667,252,29.79,0.05,1060,-11.492232900000001,137,8641,0.0001,6.586748123168945
34693,253,29.79,0.05,1061,-11.479615400000002,136,8648,0.0001,3.8406972885131836
34720,253,29.78,0.05,1062,-11.50550505,136,8654,0.0001,1.2588341236114502
34749,253,29.79,0.05,1063,-11.492414750000002,136,8662,0.0001,6.712860107421875
34777,253,29.75,0.05,1064,-11.570166430000004,136,8669,0.0001,1.1140234470367432
34803,254,29.73,0.05,1065,-11.597001360000002,136,8675,0.0001,0.8226738572120667
