time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
56069,328,1333,0.05,10.95231358,170,54.92,0.5758601427078247,0.0001,13992
56154,329,1334,0.05,11.48181141,170,55.52,0.543908953666687,0.0001,14013
56239,329,1335,0.05,11.89320971,170,55.52,2.6588892936706543,0.0001,14034
56264,329,1336,0.05,11.893665829999998,170,55.51,2.9317924976348877,0.0001,14040
56349,330,1337,0.05,12.006712629999997,170,55.51,0.4662535488605499,0.0001,14062
56376,330,1338,0.05,12.02192321,170,55.53,0.5934267044067383,0.0001,14068
56461,330,1339,0.05,12.25165532,170,56.11,0.5862187147140503,0.0001,14090
56487,330,1340,0.05,12.231734179999998,170,56.1,2.7109012603759766,0.0001,14096
56541,331,1341,0.05,12.68863879,170,56.37,0.4659873843193054,0.0001,14110
56569,331,1342,0.05,12.717223579999997,170,56.4,0.5422674417495728,0.0001,14117
56594,331,1343,0.05,12.25022813,170,55.8,0.8742184042930603,0.0001,14123
56625,331,1344,0.05,11.356567969999999,170,55.26,1.0215582847595215,0.0001,14131
56653,332,1345,0.05,10.7061956,170,54.69,0.4152117967605591,0.0001,14138
56678,332,1346,0.05,9.52641286,170,54.09,0.6122996211051941,0.0001,14144
56704,332,1347,0.05,9.138997320000001,170,53.5,3.1886727809906006,0.0001,14150
56789,333,1348,0.05,9.9962997,170,54.08,4.575425148010254,0.0001,14172
56817,333,1349,0.05,9.96007064,170,53.51,2.4477038383483887,0.0001,14179
56902,333,1350,0.05,9.84808377,170,54.11,2.764920949935913,0.0001,14200
56928,333,1351,0.05,9.848199050000003,170,54.12,0.8171286582946777,0.0001,14206
57013,334,1352,0.05,10.137998400000004,170,54.12,1.0755232572555542,0.0001,14228
57039,334,1353,0.05,9.566817340000002,170,53.53,0.8620092868804932,0.0001,14234
57067,334,1354,0.05,9.557408280000002,170,53.53,4.025043964385986,0.0001,14241
57092,334,1355,0.05,8.927363560000002,170,52.93,2.490588426589966,0.0001,14247
57177,335,1356,0.05,9.640891530000001,170,52.93,0.8003873825073242,0.0001,14269
57202,335,1357,0.05,9.17893394,170,52.33,0.5729016065597534,0.0001,14275
57230,335,1358,0.05,9.15183681,170,52.31,1.1740045547485352,0.0001,14282
57315,336,1359,0.05,9.01374537,170,52.31,4.443859100341797,0.0001,14303
57391,336,1360,0.05,9.06190638,170,52.34,1.010301113128662,0.0001,14322
57417,336,1361,0.05,9.04943389,170,52.32,2.4929330348968506,0.0001,14329
57442,336,1362,0.05,9.031068249999999,170,52.3,2.457674264907837,0.0001,14335
57472,337,1363,0.05,9.04721854,170,52.32,0.536452054977417,0.0001,14342
57497,337,1364,0.05,7.684984269999998,170,51.72,2.690319776535034,0.0001,14349
57524,337,1365,0.05,7.174667919999999,170,51.3,0.3908902406692505,0.0001,14355
57609,338,1366,0.05,7.48735909,170,51.9,2.7743496894836426,0.0001,14377
57636,338,1367,0.05,7.48397329,170,51.89,2.800774574279785,0.0001,14383
57721,338,1368,0.05,8.24597968,170,51.89,0.813187301158905,0.0001,14405
57746,338,1369,0.05,7.4987559599999996,170,51.29,0.5097438097000122,0.0001,14411
57774,339,1370,0.05,6.90991239,170,50.72,4.678376197814941,0.0001,14418
57800,339,1371,0.05,6.29965698,170,50.2,1.1389849185943604,0.0001,14424
57828,339,1372,0.05,6.09127168,170,49.63,2.5214149951934814,0.0001,14431
